title,developers,publishers,release_date,platforms,genres,score,reviewed_by
Scarlet Nexus ,Bandai Namco Games,Bandai Namco Games,2021-06-25,"PC,  PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S","Action,  RPG",8,Mitchell Saltzman
Atari VCS ,,,,TV game systems,Hardware,5,Seth G. Macy
Mario Golf: Super Rush ,Camelot Software Planning,Nintendo,2021-06-25,Nintendo Switch,"Sports,  Golf",6,Simon Cardy
DC Super Hero Girls: Teen Power ,,Nintendo,2021-06-04,Nintendo Switch,Action,6,Sarah LeBoeuf
Legend of Mana ,Square,Square Enix,2021-06-24,"Nintendo Switch,  PlayStation 4,  PC",RPG,7,Seth G. Macy
Dungeons & Dragons: Dark Alliance ,Tuque Games,Wizards of the Coast,2021-06-22,"Xbox Series X|S,  PlayStation 4,  PlayStation 5,  Xbox One,  PC","Action,  RPG",4,Travis Northup
Chivalry 2 ,Torn Banner Studios,Tripwire Interactive,2021-06-08,"PC,  PlayStation 5,  PlayStation 4,  Xbox One,  Xbox Series X|S",Action,9,Leana Hafer
Sniper Ghost Warrior Contracts 2 ,CI Games,CI Games,2021-06-04,"PlayStation 4,  Xbox One,  PC",Shooter,6,Tristan Ogilvie
Final Fantasy 7 Remake: Intergrade - Episode: INTERmission ,"CyberConnect2,  Square Enix",Square Enix,2021-06-10,PlayStation 5,RPG,8,Mitchell Saltzman
Griftlands ,Klei Entertainment ,Klei Entertainment ,2020-06-14,"PC,  Nintendo Switch",RPG,9,Travis Northup
The Elder Scrolls Online: Blackwood ,ZeniMax Online Studios,Bethesda  Softworks,2015-06-09,"PlayStation 4,  PC,  Macintosh,  Xbox One,  Stadia,  PlayStation 5,  Xbox Series X|S",RPG,7,Gabriel Moss
Chicory: A Colorful Tale ,,Finji Games,2021-06-10,"PC,  PlayStation 4,  PlayStation 5","Adventure,  Puzzle",9,Rebekah Valentine
Game Builder Garage ,Nintendo,Nintendo,2021-06-11,Nintendo Switch,"Productivity,  Editor",8,Seth G. Macy
Operation: Tango ,Clever-Plays,Clever-Plays,2021-06-01,"Xbox Series X|S,  Xbox One,  PlayStation 4,  PC,  PlayStation 5",Adventure,7,Luke Reilly
Warhammer Age of Sigmar: Storm Ground ,Gasket Games,Focus Home Interactive,2021-05-27,"PC,  PlayStation 4,  Xbox One,  Nintendo Switch",Strategy,5,Jon Bolding
